,mac,zone,floor,strength,ssid
3181,50:17:ff:df:89:a1,15.0,4.0,-71.0,bmstu_staff
3500,c0:25:5c:82:2c:0e,11.0,4.0,-46.0,bmstu_staff
3520,c0:25:5c:82:2c:0e,11.0,4.0,-46.0,bmstu_staff
3540,c0:25:5c:82:2c:00,11.0,4.0,-58.0,bmstu_lb
3562,00:26:52:d8:82:21,11.0,4.0,-58.0,bmstu_staff
3589,00:26:52:d8:82:29,11.0,4.0,-65.0,bmstu_guest
3668,00:26:52:d8:7e:b0,10.0,4.0,-85.0,bmstu_lb
3676,00:26:52:d8:7e:b1,10.0,4.0,-80.0,bmstu_staff
3683,00:26:52:d8:7e:b1,10.0,4.0,-77.0,bmstu_staff
370,00:22:55:57:51:80,14.0,2.0,-77.0,bmstu_staff
374,00:22:55:57:51:80,14.0,2.0,-74.0,bmstu_staff
1045,52:ff:20:54:c3:c9,3.0,2.0,-72.0,foodcort
1061,52:ff:20:54:c3:c9,3.0,2.0,-76.0,foodcort
1072,52:ff:20:54:c3:c9,3.0,2.0,-76.0,foodcort
1081,52:ff:20:54:c3:c9,3.0,2.0,-76.0,foodcort
